role,alpha,steered_score_mean,norm,norm_centered
cosmopolitan,2.0,82.46929824561404,3.577693223953247,1.0151599645614624
cosmopolitan,2.5,80.79824561403508,3.577693223953247,1.0151599645614624
counselor,1.0,78.5,3.628220319747925,1.4827202558517456
counselor,1.5,80.86842105263158,3.628220319747925,1.4827202558517456
counselor,2.0,80.46052631578948,3.628220319747925,1.4827202558517456
counselor,2.5,80.60087719298245,3.628220319747925,1.4827202558517456
criminal,1.0,26.70614035087719,4.276796340942383,1.6724412441253662
criminal,1.5,33.95614035087719,4.276796340942383,1.6724412441253662
criminal,2.0,54.95614035087719,4.276796340942383,1.6724412441253662
criminal,2.5,75.4780701754386,4.276796340942383,1.6724412441253662
critic,1.0,69.73799126637554,3.5288519859313965,0.9894298911094666
critic,1.5,71.23580786026201,3.5288519859313965,0.9894298911094666
critic,2.0,73.3859649122807,3.5288519859313965,0.9894298911094666
critic,2.5,74.88646288209607,3.5288519859313965,0.9894298911094666
crystalline,1.0,69.9780701754386,4.569005012512207,2.3206748962402344
crystalline,1.5,75.80263157894737,4.569005012512207,2.3206748962402344
crystalline,2.0,83.40350877192982,4.569005012512207,2.3206748962402344
crystalline,2.5,90.64473684210526,4.569005012512207,2.3206748962402344
curator,1.0,58.69736842105263,3.716697931289673,1.4519431591033936
curator,1.5,60.99122807017544,3.716697931289673,1.4519431591033936
curator,2.0,62.43421052631579,3.716697931289673,1.4519431591033936
curator,2.5,62.833333333333336,3.716697931289673,1.4519431591033936
cyborg,1.0,50.67982456140351,3.984527111053467,1.5800657272338867
cyborg,1.5,57.75877192982456,3.984527111053467,1.5800657272338867
cyborg,2.0,72.8157894736842,3.984527111053467,1.5800657272338867
cyborg,2.5,87.51315789473684,3.984527111053467,1.5800657272338867
cynic,1.0,38.21052631578947,3.8742291927337646,1.4188352823257446
cynic,1.5,42.65350877192982,3.8742291927337646,1.4188352823257446
cynic,2.0,52.45614035087719,3.8742291927337646,1.4188352823257446
cynic,2.5,67.48684210526316,3.8742291927337646,1.4188352823257446
daredevil,1.0,44.53508771929825,4.674610137939453,1.663652777671814
daredevil,1.5,58.34649122807018,4.674610137939453,1.663652777671814
daredevil,2.0,75.46929824561404,4.674610137939453,1.663652777671814
daredevil,2.5,82.80701754385964,4.674610137939453,1.663652777671814
debugger,1.0,64.36842105263158,3.9052720069885254,1.6231261491775513
debugger,1.5,66.64473684210526,3.9052720069885254,1.6231261491775513
debugger,2.0,71.69736842105263,3.9052720069885254,1.6231261491775513
debugger,2.5,73.36842105263158,3.9052720069885254,1.6231261491775513
demon,1.0,29.32894736842105,4.021988391876221,1.7248883247375488
demon,1.5,31.719298245614034,4.021988391876221,1.7248883247375488
demon,2.0,43.1140350877193,4.021988391876221,1.7248883247375488
demon,2.5,69.76754385964912,4.021988391876221,1.7248883247375488
designer,1.0,64.21929824561404,3.4023194313049316,1.5574346780776978
designer,1.5,66.80701754385964,3.4023194313049316,1.5574346780776978
designer,2.0,70.27631578947368,3.4023194313049316,1.5574346780776978
designer,2.5,74.68859649122807,3.4023194313049316,1.5574346780776978
